Id;NombreEstacion;Estacion;longitud2;latitud2;altitud;anio;precipitaciones Dia;precipitaciones Noche;temperatura Dia;temperatura Noche;H. del Suelo Dia;H. del Suelo Noche;Evapotranspiracion Dia;Evapotranspiracion Noche;Velocidad del Viento Dia;Velocidad del Viento Noche;radiacion Solar
30;PORTOVIEJO;Picoza;-804.601;-10.382;3140;2005;72,4;152,3;24;23;25;51;27,4;14,5;59,4;62,8;5,8
31;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;2006;104,2;165,2;22;20;32;30;9,4;4,5;7,6;147,6;5,9
32;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;2007;70,2;55,1;27;16;24;27;14,5;54,1;3,6;119;5,8
33;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;2008;218,9;147,4;32;17;34;46;13,5;50;44,5;198,1;6,2
34;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;3140;2009;195,1;154,9;34;21;27;25;3,8;5;28,3;49,2;6,1
35;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3140;2010;20,2;35,7;33;23;27;25;122,1;37,4;75,7;114;5,7
36;PORTOVIEJO;San Pablo;-804.604;-10.385;3140;2011;149,1;207,6;21;23;31;55;96,4;88,8;94,8;92;6,2
37;PORTOVIEJO;Picoza;-804.601;-10.382;3140;2012;254,2;166,9;27;19;14;48;5,2;17,6;18,6;112,8;6,2
38;PORTOVIEJO;Picoza;-804.601;-10.382;3140;2013;63,2;179,6;35;19;34;52;8,1;16,4;19,7;119,6;5,9
39;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;2014;173,7;88,3;35;16;30;36;5,4;2,2;55,8;175,8;5,8
40;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;2015;78,3;52,8;27;19;30;27;52,8;3,4;2,6;71;5,9
41;PORTOVIEJO;Colon;-804.598;-10.38;3140;2016;306,5;52,6;24;22;30;38;5,6;0,1;55,9;91,8;6
42;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;2017;209,6;121,5;35;17;34;32;4,1;33,5;55,5;199,6;5,8
43;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3140;2018;104;207,6;21;24;20;54;26,1;32,3;41,5;48,4;5,5
44;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;2019;155;158,7;24;24;12;29;11,2;1,1;56,4;106,5;5,7
45;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2480;1980;;;32;24;18;47;2;12,4;68,3;150,7;5,6
46;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;1981;62,3;84,8;18;24;29;34;17,6;39;33,6;72,1;5,8
47;PORTOVIEJO;San Pablo;-804.604;-10.385;2480;1982;91,6;36;30;16;29;28;16,4;1,2;103,1;166,5;5,8
48;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;1983;62,4;85,8;17;18;22;32;3,5;5,3;15,6;154,7;5,6
49;PORTOVIEJO;Colon;-804.598;-10.38;2480;1984;103,1;126,6;19;20;20;41;17,3;45,1;104,2;70;6,2
50;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2480;1985;38,3;26,6;18;24;14;29;2,3;11,3;149;78,8;5,7
51;PORTOVIEJO;San Pablo;-804.604;-10.385;2480;1986;67,8;155,5;22;24;35;38;0,1;0,4;74,5;97,2;5,7
52;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2480;1987;63,7;38,5;20;19;20;54;10,2;8,4;77,2;121,1;6
53;PORTOVIEJO;Colon;-804.598;-10.38;2480;1988;57,5;82,2;35;21;34;44;33,1;51,3;62,4;80,4;5,9
54;PORTOVIEJO;San Pablo;-804.604;-10.385;2480;1989;75,5;58;26;20;13;36;22,3;19,6;55,5;165,9;5,7
55;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;1990;31,2;68,8;25;20;23;36;9;58,4;41,9;221,2;5,8
56;PORTOVIEJO;Picoza;-804.601;-10.382;2480;1991;83,6;19,3;34;23;35;29;32,3;3;66,8;73,3;6,1
57;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;1992;35,9;65,7;35;16;27;49;3,4;8,6;50,4;72,6;5,5
58;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;1993;84,4;155,3;22;17;27;29;5,2;3,3;71,8;78,8;5,9
59;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;1994;139,8;130,2;33;19;21;48;1;6,8;36,6;52,8;6
60;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;1995;4,9;31,8;24;21;15;25;21,7;29,1;7,8;151,8;5,8
61;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2480;1996;77,3;105,8;31;20;26;35;20,1;35;65,1;159,5;5,7
62;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2480;1997;135;10,9;27;22;12;34;5,5;0,6;96,5;127,2;5,7
63;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2480;1998;77,2;51,5;32;23;27;39;21,1;45,8;9,3;107,1;5,9
64;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;1999;57,1;90,1;19;18;15;41;0,6;17,4;94,5;105,9;5,9
65;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2480;2000;129,5;145,5;21;16;20;50;35,4;2,1;77,3;67,4;5,6
66;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;2001;55,5;60,6;23;24;25;50;25;0;95,7;34,6;5,7
67;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2480;2002;44,7;36,9;27;20;18;53;11,6;21,7;49,6;79,9;6,1
68;PORTOVIEJO;Picoza;-804.601;-10.382;2480;2003;40,1;68,9;18;23;24;30;10,3;20,8;84,3;85,3;5,9
69;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;2004;82,3;27,3;18;22;28;51;4,4;0,7;53,8;105,4;5,7
70;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;2005;52,8;97,7;26;21;14;29;9,1;18,8;20,2;87;5,5
71;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2480;2006;42,4;74,8;21;17;22;43;4,6;3;11;101,3;5,9
72;PORTOVIEJO;Colon;-804.598;-10.38;2480;2007;69,2;42,5;34;19;15;51;3,6;13,1;22,3;143,4;5,5
73;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2480;2008;86,4;148,2;24;16;24;32;2,4;22,1;25,4;186,7;5,8
74;PORTOVIEJO;Colon;-804.598;-10.38;2480;2009;101,4;48,5;17;17;14;45;14,9;0,1;9,9;121,5;5,7
75;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2480;2010;15,9;83;18;24;27;33;69,6;29,5;79,1;66,4;5,6
76;PORTOVIEJO;Colon;-804.598;-10.38;2480;2011;34,8;158,9;31;18;27;52;46,6;43,3;35,5;77,8;5,7
77;PORTOVIEJO;Picoza;-804.601;-10.382;2480;2012;76,9;59,8;20;23;14;43;1,5;2;53,3;70,2;5,6
78;PORTOVIEJO;San Pablo;-804.604;-10.385;2480;2013;17,8;159,8;33;21;19;35;4,5;36,3;24,4;77,9;5,9
79;PORTOVIEJO;Picoza;-804.601;-10.382;2480;2014;66,5;65,7;30;24;12;38;0,8;0,4;46,9;130,5;5,9
80;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2480;2015;54,2;78,5;21;21;13;46;16,8;2;16,8;123,7;5,5
81;PORTOVIEJO;Picoza;-804.601;-10.382;2480;2016;57,3;4,2;24;21;33;51;6,4;5,6;46,3;98;6
82;PORTOVIEJO;Portoviejo;-804.596;-10.383;2480;2017;203,8;74,3;31;20;29;50;0,8;29,5;25,5;124,1;5,7
83;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2480;2018;66,9;107,9;28;24;15;42;13,6;19;21,3;97,2;5,6
84;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2480;2019;55,8;120,3;31;24;20;53;5;0,1;56,1;82,3;5,6
85;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1962;;176,2;34;22;32;40;6,1;13,1;39,5;74,3;5,8
86;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;3058;1963;199,5;185,3;22;19;29;38;60;29,7;41,5;102,3;6
87;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3058;1964;57,9;59,2;19;17;22;28;43,2;71,7;32;93,1;5,9
88;PORTOVIEJO;Colon;-804.598;-10.38;3058;1965;159,9;67,3;21;19;17;27;5,3;10;143,5;209,5;5,9
89;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;1966;91,3;123,3;27;16;30;30;30,7;24,5;65,6;154,6;6,1
90;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;1967;147,8;262,8;34;24;25;53;21,9;14,2;39;195,2;6
91;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1968;80,6;159;33;24;27;31;28,6;56,7;103,8;155,1;5,6
92;PORTOVIEJO;Picoza;-804.601;-10.382;3058;1969;;269,8;22;18;23;34;0,7;16,5;153,4;174,2;5,7
93;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;1970;164,5;284,5;28;19;30;44;8,3;27,3;77;104,9;5,9
94;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1971;222,6;302;29;21;24;27;4,2;56,9;107,9;208,1;5,8
95;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3058;1972;218,4;155,1;34;16;18;34;7,1;41;28,4;77;6
96;PORTOVIEJO;Colon;-804.598;-10.38;3058;1973;91,1;79,1;33;18;24;53;60,9;45,4;113,7;132;5,7
97;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3058;1974;81,9;214,9;22;22;25;43;25,8;39,7;108,5;272,1;6
98;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1975;105,3;263,9;30;17;33;54;133,2;55,1;76,8;174,1;6,2
99;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;3058;1976;129;155,8;29;21;34;29;7,5;20,2;40,1;83,8;6,1
100;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1977;135,2;101,6;24;21;30;54;28,5;64;123,1;97,9;5,7
101;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1978;77,7;77,5;35;24;35;28;68,3;65,8;97,2;37,4;6,2
102;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1979;71,2;49,8;18;18;15;39;28,3;72,6;175;62,6;6,1
103;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3058;1980;76,2;152;33;19;17;32;14,3;36,7;63,4;216,4;5,9
104;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3058;1981;95,6;168,2;34;23;35;38;48,6;81,2;40,9;191,4;5,9
105;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3058;1982;211,5;125,8;17;18;30;29;34,4;1,2;99,2;161,4;5,5
106;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;1983;133,2;87,1;35;16;35;33;19,2;40,7;58,5;121,2;5,8
107;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1984;69,7;311,8;19;18;29;31;28,2;54,8;143,2;163,5;6
108;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;1985;126,3;32,1;32;16;22;41;23,3;48,5;90,7;68,1;5,8
109;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;1986;186,4;124,8;33;19;33;40;2;21,3;75,1;163,1;5,8
110;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;1987;114;82,2;21;23;30;37;37,3;50,5;108,6;116;6,1
111;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;1988;156,6;219,5;24;23;16;36;42,1;68,6;134,6;164,2;6,1
112;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;1989;230;188,7;31;20;19;53;40,6;24,5;118,6;186,4;5,7
113;PORTOVIEJO;Colon;-804.598;-10.38;3058;1990;76,7;157,4;22;23;32;41;65,4;25,1;43,5;190,6;6,1
114;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1991;125,4;104,7;17;18;29;27;43,9;14,4;116,7;133,5;6
115;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1992;53,9;80;21;23;18;38;24,7;17,4;114,9;118,8;6,2
116;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1993;141,9;227,3;22;24;30;27;21,7;17,1;91,4;88;6,2
117;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3058;1994;180,6;211,7;26;22;32;30;24,5;7,6;86,8;75,2;5,9
118;PORTOVIEJO;Colon;-804.598;-10.38;3058;1995;53,9;61,4;28;19;16;33;53,2;100,5;50,7;137,1;6,1
119;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;1996;160,9;220,7;24;21;23;46;30;39,8;45,6;163,6;5,7
120;PORTOVIEJO;Colon;-804.598;-10.38;3058;1997;233,4;102;27;18;15;44;4,6;17;71,1;150,5;5,8
121;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;1998;83,1;143,2;25;24;25;29;37,6;72;57,4;192,5;5,8
122;PORTOVIEJO;Picoza;-804.601;-10.382;3058;1999;93,4;251,3;23;19;27;34;7,9;43,6;157,2;104,2;5,9
123;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;2000;161,2;184,6;34;19;35;47;42,6;28,8;167,7;49,9;6,1
124;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3058;2001;144,8;168,2;29;19;28;54;36,1;12,4;91,4;7,9;6,2
125;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;2002;94;93,4;18;16;17;29;26,5;11,8;22,9;129,6;5,7
126;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;2003;144,7;104,4;27;17;32;33;7,9;32,2;101,3;153,2;5,6
127;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;3058;2004;58,9;66,1;25;16;13;48;28,6;3,1;98,7;136,3;6
128;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;2005;33,3;201,4;33;16;31;34;50,6;53,9;84,1;83,7;6
129;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;2006;93,3;188,8;18;21;30;46;13,1;23,6;51,6;76,5;5,7
130;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;2007;171,3;55,1;19;18;27;40;62,6;34,8;16,4;201,9;5,7
131;PORTOVIEJO;San Pablo;-804.604;-10.385;3058;2008;246,6;275,5;28;23;31;50;28,5;96,7;103,1;199,5;5,8
132;PORTOVIEJO;Colon;-804.598;-10.38;3058;2009;295,4;186,6;32;19;26;26;7,1;29;9,7;86,4;5,8
133;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;2010;45,6;103,7;19;22;27;35;196,2;52,5;79,5;89,7;5,8
134;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3058;2011;138,3;193,3;33;17;31;26;69,4;76,7;56,9;197,6;6,2
135;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;2012;254,3;227,3;19;22;32;28;19,8;20;20,5;167;5,8
136;PORTOVIEJO;Picoza;-804.601;-10.382;3058;2013;43,7;230,5;29;16;33;55;8,3;43,5;38,9;191,5;5,9
137;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;2014;177,9;135,4;33;18;31;33;12,5;49,9;78,5;132,1;6
138;PORTOVIEJO;Colon;-804.598;-10.38;3058;2015;94,9;78,9;25;21;20;42;30;6,6;21,4;118,2;5,8
139;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3058;2016;166,6;103,7;34;18;26;45;18,4;10,6;82;110,9;5,8
140;PORTOVIEJO;Portoviejo;-804.596;-10.383;3058;2017;171,3;170,6;22;22;13;27;5,1;42,1;53,8;113;5,9
141;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3058;2018;84,9;181,3;18;22;34;48;12;23,9;45,4;89,1;6,2
142;PORTOVIEJO;Picoza;-804.601;-10.382;3058;2019;105,5;212;26;24;35;42;24,9;0;84;168;5,9
143;PORTOVIEJO;San Pablo;-804.604;-10.385;2685;1976;;;;18;35;36;25,3;15,8;14,3;27,9;5,9
144;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;1977;70,1;53,1;17;20;19;41;9,1;33,8;75,8;37;6,2
145;PORTOVIEJO;Picoza;-804.601;-10.382;2685;1978;5,7;35,9;24;21;30;36;34,7;9,3;28,6;11,4;5,8
146;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;1979;51,5;19,8;28;20;15;25;16,2;41,6;50;12,2;5,7
147;PORTOVIEJO;Picoza;-804.601;-10.382;2685;1980;18,2;96,6;28;21;18;28;4,5;13,8;46,9;87,4;5,8
148;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;1981;8;34,9;24;24;20;38;19;30,3;9,7;38,2;5,9
149;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2685;1982;44,9;76,7;25;18;17;35;19,8;26,3;6,4;63,6;6,2
150;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;1983;45,2;27,1;29;21;14;28;6,2;9,5;26,6;44,4;5,6
151;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;1984;59;117,3;29;22;27;38;12,2;9,5;135,4;44,4;5,6
152;PORTOVIEJO;Picoza;-804.601;-10.382;2685;1985;76,5;8,6;26;20;35;25;12,5;21,6;40,7;20,9;6,1
153;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;1986;44,1;41,6;35;20;15;31;6,5;17,2;34,1;83,3;6
154;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2685;1987;54,3;33,4;19;21;23;27;23,5;6,8;40,2;57,6;6
155;PORTOVIEJO;Colon;-804.598;-10.38;2685;1988;28,2;85,2;31;18;13;28;31,9;34,1;34,6;61,8;5,9
156;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;1989;81,7;64,4;24;17;16;46;15,9;3,4;36,6;56,8;6,1
157;PORTOVIEJO;San Pablo;-804.604;-10.385;2685;1990;28,3;62,5;24;24;25;32;11,4;4,5;18,2;139,9;6,1
158;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;1991;27,5;23,5;20;24;27;50;19,7;10,6;33,6;30,8;5,5
159;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;1992;51,3;49,5;34;19;30;54;13,7;4,1;42,9;47,3;5,9
160;PORTOVIEJO;Colon;-804.598;-10.38;2685;1993;105,5;52,9;30;21;27;47;13,3;11,5;23,4;58,4;6,2
161;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2685;1994;44,5;71,8;27;18;35;40;13,1;27,5;21,6;40,7;5,8
162;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;1995;1,8;33,3;20;16;30;32;26,1;19,4;4;44,6;5,8
163;PORTOVIEJO;Colon;-804.598;-10.38;2685;1996;48,2;66,8;18;22;34;50;14,6;13,1;33,6;71,5;6
164;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;1997;76,7;20,3;22;18;12;25;17;6,8;23,8;44,5;6
165;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2685;1998;7,6;63,9;30;16;27;43;20,7;11,2;8,1;89,1;5,5
166;PORTOVIEJO;Picoza;-804.601;-10.382;2685;1999;50,7;88,6;21;16;13;43;9,8;42,7;102;29,9;5,7
167;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2685;2000;116,1;127,8;24;23;20;33;8,4;16,3;59,2;7;6
168;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2685;2001;51,9;40,5;24;23;22;29;25;9,2;17,7;8,6;5,8
169;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;2002;36,1;16,8;18;21;13;54;8,6;7,9;7;62,1;5,7
170;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;2003;37,7;65,3;21;17;12;48;10;1,1;14,2;58;5,7
171;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2685;2004;10,9;45,4;18;19;18;39;22,9;15,9;21,6;17,8;5,6
172;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;2005;10,1;34,2;33;18;14;33;14,9;11,7;14,5;25,5;5,7
173;PORTOVIEJO;Colon;-804.598;-10.38;2685;2006;33,9;45,1;34;17;17;49;2,4;15,1;17,7;13,5;6
174;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;2007;43,9;11,3;32;19;20;46;17,5;30,5;8,5;33,4;5,8
175;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2685;2008;79,7;88,9;29;21;30;26;20,6;36,5;28,4;155,5;5,8
176;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;2009;74,9;41,4;22;22;20;31;11,5;1,6;10,7;27,8;5,8
177;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2685;2010;2,8;27,3;19;23;19;32;70,7;12,8;41,2;40,8;6,1
178;PORTOVIEJO;18 de Octubre;-804.599;-10.377;2685;2011;40,4;130;18;22;26;50;41,4;16,8;43,6;21,6;6
179;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;2012;102,1;65,9;17;24;17;42;6,5;13;20,5;70,5;6,1
180;PORTOVIEJO;Andres de Vera;-804.596;-10.378;2685;2013;9,6;98,8;20;20;15;38;14;14,9;6,6;34,4;6,1
181;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;2014;86,7;15,1;22;24;25;34;8,2;16,9;58;46,8;5,9
182;PORTOVIEJO;San Pablo;-804.604;-10.385;2685;2015;69,4;23,2;33;20;24;32;34,1;8;6;40,3;5,7
183;PORTOVIEJO;Portoviejo;-804.596;-10.383;2685;2016;40;8;26;24;24;33;8,6;6,9;27,1;20,1;5,6
184;PORTOVIEJO;12 de Marzo;-804.597;-10.379;2685;2017;90;67,7;32;24;25;46;19,4;32,7;23;109,2;6,1
185;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;2685;2018;26,2;44,3;28;21;18;55;14;26,8;19,4;38,5;5,8
186;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;2685;2019;16,5;49,3;35;16;19;54;7,7;8,1;7,6;65,2;5,6
187;PORTOVIEJO;18 de Octubre;-804.599;-10.377;46;1960;47,5;35,5;34;22;21;54;2,4;1;0;0,1;5,6
188;PORTOVIEJO;San Pablo;-804.604;-10.385;46;1961;87;230,8;29;18;31;31;1,5;0;0;2,5;5,5
189;PORTOVIEJO;Portoviejo;-804.596;-10.383;46;1962;47,4;100,8;24;18;15;33;0;0,6;0;0;5,6
190;PORTOVIEJO;San Pablo;-804.604;-10.385;46;1963;18,3;21,6;29;24;26;52;0;0;0;0;5,6
191;PORTOVIEJO;Andres de Vera;-804.596;-10.378;46;1964;59,6;46,5;20;22;26;33;0,3;0,5;0;4,4;5,9
192;PORTOVIEJO;12 de Marzo;-804.597;-10.379;46;1965;29,2;62,7;28;17;13;44;15,2;2,7;0,2;0,4;5,5
193;PORTOVIEJO;Portoviejo;-804.596;-10.383;46;1966;77,1;94,1;35;21;32;50;3,1;8,8;8,2;1,7;5,7
194;PORTOVIEJO;Colon;-804.598;-10.38;46;1967;184,6;162,7;24;22;18;52;2,8;0;1;0,1;6,1
195;PORTOVIEJO;Francisco Pacheco;-804.6;-10.376;46;1968;56,8;64;34;24;30;44;0;1;0,9;0;5,5
196;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;46;1969;146,6;17,4;17;20;21;41;17;0;0,1;0,3;6,1
197;PORTOVIEJO;Andres de Vera;-804.596;-10.378;46;1970;43,6;48,8;19;23;34;27;0,3;0,2;2;0,1;5,7
