Id;Estacion;longitud2;latitud2;altitud;anio;precipitaciones Dia;precipitaciones Noche;temperatura Dia;temperatura Noche;H. del Suelo Dia;H. del Suelo Noche;Evapotranspiracion Dia;Evapotranspiracion Noche;Velocidad del Viento Dia;Velocidad del Viento Noche;radiacion Solar
95;1;-804.599;-10.377;3058;1972;218.4;155.1;34.0;16;18;34;7.1;41.0;28.4;77.0;6.0
96;3;-804.598;-10.38;3058;1973;91.1;79.1;33.0;18;24;53;60.9;45.4;113.7;132.0;5.7
97;8;-804.603;-10.384;3058;1974;81.9;214.9;22.0;22;25;43;25.8;39.7;108.5;272.1;6.0
98;0;-804.597;-10.379;3058;1975;105.3;263.9;30.0;17;33;54;133.2;55.1;76.8;174.1;6.2
99;4;-804.6;-10.376;3058;1976;129.0;155.8;29.0;21;34;29;7.5;20.2;40.1;83.8;6.1
100;0;-804.597;-10.379;3058;1977;135.2;101.6;24.0;21;30;54;28.5;64.0;123.1;97.9;5.7
101;6;-804.596;-10.383;3058;1978;77.7;77.5;35.0;24;35;28;68.3;65.8;97.2;37.4;6.2
102;0;-804.597;-10.379;3058;1979;71.2;49.8;18.0;18;15;39;28.3;72.6;175.0;62.6;6.1
103;1;-804.599;-10.377;3058;1980;76.2;152.0;33.0;19;17;32;14.3;36.7;63.4;216.4;5.9
104;8;-804.603;-10.384;3058;1981;95.6;168.2;34.0;23;35;38;48.6;81.2;40.9;191.4;5.9
105;8;-804.603;-10.384;3058;1982;211.5;125.8;17.0;18;30;29;34.4;1.2;99.2;161.4;5.5
106;2;-804.595;-10.378;3058;1983;133.2;87.1;35.0;16;35;33;19.2;40.7;58.5;121.2;5.8
107;6;-804.596;-10.383;3058;1984;69.7;311.8;19.0;18;29;31;28.2;54.8;143.2;163.5;6.0
108;2;-804.595;-10.378;3058;1985;126.3;32.1;32.0;16;22;41;23.3;48.5;90.7;68.1;5.8
109;7;-804.604;-10.385;3058;1986;186.4;124.8;33.0;19;33;40;2.0;21.3;75.1;163.1;5.8
110;7;-804.604;-10.385;3058;1987;114.0;82.2;21.0;23;30;37;37.3;50.5;108.6;116.0;6.1
111;7;-804.604;-10.385;3058;1988;156.6;219.5;24.0;23;16;36;42.1;68.6;134.6;164.2;6.1
112;2;-804.595;-10.378;3058;1989;230.0;188.7;31.0;20;19;53;40.6;24.5;118.6;186.4;5.7
113;3;-804.598;-10.38;3058;1990;76.7;157.4;22.0;23;32;41;65.4;25.1;43.5;190.6;6.1
114;6;-804.596;-10.383;3058;1991;125.4;104.7;17.0;18;29;27;43.9;14.4;116.7;133.5;6.0
115;0;-804.597;-10.379;3058;1992;53.9;80.0;21.0;23;18;38;24.7;17.4;114.9;118.8;6.2
116;0;-804.597;-10.379;3058;1993;141.9;227.3;22.0;24;30;27;21.7;17.1;91.4;88.0;6.2
117;1;-804.599;-10.377;3058;1994;180.6;211.7;26.0;22;32;30;24.5;7.6;86.8;75.2;5.9
118;3;-804.598;-10.38;3058;1995;53.9;61.4;28.0;19;16;33;53.2;100.5;50.7;137.1;6.1
119;0;-804.597;-10.379;3058;1996;160.9;220.7;24.0;21;23;46;30.0;39.8;45.6;163.6;5.7
120;3;-804.598;-10.38;3058;1997;233.4;102.0;27.0;18;15;44;4.6;17.0;71.1;150.5;5.8
121;6;-804.596;-10.383;3058;1998;83.1;143.2;25.0;24;25;29;37.6;72.0;57.4;192.5;5.8
122;5;-804.601;-10.382;3058;1999;93.4;251.3;23.0;19;27;34;7.9;43.6;157.2;104.2;5.9
123;0;-804.597;-10.379;3058;2000;161.2;184.6;34.0;19;35;47;42.6;28.8;167.7;49.9;6.1
124;8;-804.603;-10.384;3058;2001;144.8;168.2;29.0;19;28;54;36.1;12.4;91.4;7.9;6.2
125;2;-804.595;-10.378;3058;2002;94.0;93.4;18.0;16;17;29;26.5;11.8;22.9;129.6;5.7
126;0;-804.597;-10.379;3058;2003;144.7;104.4;27.0;17;32;33;7.9;32.2;101.3;153.2;5.6
127;4;-804.6;-10.376;3058;2004;58.9;66.1;25.0;16;13;48;28.6;3.1;98.7;136.3;6.0
128;0;-804.597;-10.379;3058;2005;33.3;201.4;33.0;16;31;34;50.6;53.9;84.1;83.7;6.0
129;2;-804.595;-10.378;3058;2006;93.3;188.8;18.0;21;30;46;13.1;23.6;51.6;76.5;5.7
130;6;-804.596;-10.383;3058;2007;171.3;55.1;19.0;18;27;40;62.6;34.8;16.4;201.9;5.7
131;7;-804.604;-10.385;3058;2008;246.6;275.5;28.0;23;31;50;28.5;96.7;103.1;199.5;5.8
132;3;-804.598;-10.38;3058;2009;295.4;186.6;32.0;19;26;26;7.1;29.0;9.7;86.4;5.8
133;2;-804.595;-10.378;3058;2010;45.6;103.7;19.0;22;27;35;196.2;52.5;79.5;89.7;5.8
134;1;-804.599;-10.377;3058;2011;138.3;193.3;33.0;17;31;26;69.4;76.7;56.9;197.6;6.2
135;2;-804.595;-10.378;3058;2012;254.3;227.3;19.0;22;32;28;19.8;20.0;20.5;167.0;5.8
136;5;-804.601;-10.382;3058;2013;43.7;230.5;29.0;16;33;55;8.3;43.5;38.9;191.5;5.9
137;0;-804.597;-10.379;3058;2014;177.9;135.4;33.0;18;31;33;12.5;49.9;78.5;132.1;6.0
138;3;-804.598;-10.38;3058;2015;94.9;78.9;25.0;21;20;42;30.0;6.6;21.4;118.2;5.8
139;0;-804.597;-10.379;3058;2016;166.6;103.7;34.0;18;26;45;18.4;10.6;82.0;110.9;5.8
140;6;-804.596;-10.383;3058;2017;171.3;170.6;22.0;22;13;27;5.1;42.1;53.8;113.0;5.9
141;2;-804.595;-10.378;3058;2018;84.9;181.3;18.0;22;34;48;12.0;23.9;45.4;89.1;6.2
143;7;-804.604;-10.385;2685;1976;105.5;212.0;26.0;18;35;36;25.3;15.8;14.3;27.9;5.9
144;4;-804.6;-10.376;2685;1977;70.1;53.1;17.0;20;19;41;9.1;33.8;75.8;37.0;6.2
145;5;-804.601;-10.382;2685;1978;5.7;35.9;24.0;21;30;36;34.7;9.3;28.6;11.4;5.8
146;6;-804.596;-10.383;2685;1979;51.5;19.8;28.0;20;15;25;16.2;41.6;50.0;12.2;5.7
147;5;-804.601;-10.382;2685;1980;18.2;96.6;28.0;21;18;28;4.5;13.8;46.9;87.4;5.8
148;6;-804.596;-10.383;2685;1981;8.0;34.9;24.0;24;20;38;19.0;30.3;9.7;38.2;5.9
149;8;-804.603;-10.384;2685;1982;44.9;76.7;25.0;18;17;35;19.8;26.3;6.4;63.6;6.2
150;4;-804.6;-10.376;2685;1983;45.2;27.1;29.0;21;14;28;6.2;9.5;26.6;44.4;5.6
151;4;-804.6;-10.376;2685;1984;59.0;117.3;29.0;22;27;38;12.2;9.5;135.4;44.4;5.6
152;5;-804.601;-10.382;2685;1985;76.5;8.6;26.0;20;35;25;12.5;21.6;40.7;20.9;6.1
153;4;-804.6;-10.376;2685;1986;44.1;41.6;35.0;20;15;31;6.5;17.2;34.1;83.3;6.0
154;2;-804.595;-10.378;2685;1987;54.3;33.4;19.0;21;23;27;23.5;6.8;40.2;57.6;6.0
155;3;-804.598;-10.38;2685;1988;28.2;85.2;31.0;18;13;28;31.9;34.1;34.6;61.8;5.9
156;6;-804.596;-10.383;2685;1989;81.7;64.4;24.0;17;16;46;15.9;3.4;36.6;56.8;6.1
157;7;-804.604;-10.385;2685;1990;28.3;62.5;24.0;24;25;32;11.4;4.5;18.2;139.9;6.1
158;4;-804.6;-10.376;2685;1991;27.5;23.5;20.0;24;27;50;19.7;10.6;33.6;30.8;5.5
159;6;-804.596;-10.383;2685;1992;51.3;49.5;34.0;19;30;54;13.7;4.1;42.9;47.3;5.9
160;3;-804.598;-10.38;2685;1993;105.5;52.9;30.0;21;27;47;13.3;11.5;23.4;58.4;6.2
161;0;-804.597;-10.379;2685;1994;44.5;71.8;27.0;18;35;40;13.1;27.5;21.6;40.7;5.8
162;1;-804.599;-10.377;2685;1995;1.8;33.3;20.0;16;30;32;26.1;19.4;4.0;44.6;5.8
163;3;-804.598;-10.38;2685;1996;48.2;66.8;18.0;22;34;50;14.6;13.1;33.6;71.5;6.0
164;6;-804.596;-10.383;2685;1997;76.7;20.3;22.0;18;12;25;17.0;6.8;23.8;44.5;6.0
165;2;-804.595;-10.378;2685;1998;7.6;63.9;30.0;16;27;43;20.7;11.2;8.1;89.1;5.5
166;5;-804.601;-10.382;2685;1999;50.7;88.6;21.0;16;13;43;9.8;42.7;102.0;29.9;5.7
167;8;-804.603;-10.384;2685;2000;116.1;127.8;24.0;23;20;33;8.4;16.3;59.2;7.0;6.0
168;8;-804.603;-10.384;2685;2001;51.9;40.5;24.0;23;22;29;25.0;9.2;17.7;8.6;5.8
169;1;-804.599;-10.377;2685;2002;36.1;16.8;18.0;21;13;54;8.6;7.9;7.0;62.1;5.7
170;1;-804.599;-10.377;2685;2003;37.7;65.3;21.0;17;12;48;10.0;1.1;14.2;58.0;5.7
171;0;-804.597;-10.379;2685;2004;10.9;45.4;18.0;19;18;39;22.9;15.9;21.6;17.8;5.6
172;4;-804.6;-10.376;2685;2005;10.1;34.2;33.0;18;14;33;14.9;11.7;14.5;25.5;5.7
173;3;-804.598;-10.38;2685;2006;33.9;45.1;34.0;17;17;49;2.4;15.1;17.7;13.5;6.0
174;1;-804.599;-10.377;2685;2007;43.9;11.3;32.0;19;20;46;17.5;30.5;8.5;33.4;5.8
175;0;-804.597;-10.379;2685;2008;79.7;88.9;29.0;21;30;26;20.6;36.5;28.4;155.5;5.8
176;1;-804.599;-10.377;2685;2009;74.9;41.4;22.0;22;20;31;11.5;1.6;10.7;27.8;5.8
177;0;-804.597;-10.379;2685;2010;2.8;27.3;19.0;23;19;32;70.7;12.8;41.2;40.8;6.1
178;1;-804.599;-10.377;2685;2011;40.4;130.0;18.0;22;26;50;41.4;16.8;43.6;21.6;6.0
179;6;-804.596;-10.383;2685;2012;102.1;65.9;17.0;24;17;42;6.5;13.0;20.5;70.5;6.1
180;2;-804.595;-10.378;2685;2013;9.6;98.8;20.0;20;15;38;14.0;14.9;6.6;34.4;6.1
181;4;-804.6;-10.376;2685;2014;86.7;15.1;22.0;24;25;34;8.2;16.9;58.0;46.8;5.9
182;7;-804.604;-10.385;2685;2015;69.4;23.2;33.0;20;24;32;34.1;8.0;6.0;40.3;5.7
183;6;-804.596;-10.383;2685;2016;40.0;8.0;26.0;24;24;33;8.6;6.9;27.1;20.1;5.6
184;0;-804.597;-10.379;2685;2017;90.0;67.7;32.0;24;25;46;19.4;32.7;23.0;109.2;6.1
185;8;-804.603;-10.384;2685;2018;26.2;44.3;28.0;21;18;55;14.0;26.8;19.4;38.5;5.8
186;4;-804.6;-10.376;2685;2019;16.5;49.3;35.0;16;19;54;7.7;8.1;7.6;65.2;5.6
187;1;-804.599;-10.377;46;1960;47.5;35.5;34.0;22;21;54;2.4;1.0;0.0;0.1;5.6
191;2;-804.595;-10.378;46;1964;59.6;46.5;20.0;22;26;33;0.3;0.5;0.0;4.4;5.9
192;0;-804.597;-10.379;46;1965;29.2;62.7;28.0;17;13;44;15.2;2.7;0.2;0.4;5.5
193;6;-804.596;-10.383;46;1966;77.1;94.1;35.0;21;32;50;3.1;8.8;8.2;1.7;5.7
197;2;-804.595;-10.378;46;1970;43.6;48.8;19.0;23;34;27;0.3;0.2;2.0;0.1;5.7
198;3;-804.598;-10.38;46;1971;30.8;134.4;34.0;23;35;35;0.1;0.1;3.3;1.3;5.6
199;2;-804.595;-10.378;46;1972;75.8;197.9;21.0;20;25;44;20.5;6.3;3.6;1.5;6.0
200;0;-804.597;-10.379;46;1973;183.1;177.1;28.0;18;33;36;1.8;1.8;2.9;0.0;6.2
201;6;-804.596;-10.383;46;1974;24.0;114.7;21.0;24;32;54;0.6;0.1;1.8;4.4;5.6
202;4;-804.6;-10.376;46;1975;213.9;247.4;25.0;16;13;29;0.4;0.7;14.7;18.7;5.8
206;7;-804.604;-10.385;46;1979;37.5;151.0;21.0;22;27;39;0.9;1.0;0.7;0.0;5.8
210;2;-804.595;-10.378;46;1983;271.3;125.0;20.0;16;35;46;231.6;23.4;46.8;1.7;5.7
214;6;-804.596;-10.383;46;1987;70.6;333.3;18.0;16;19;36;0.8;16.5;1.5;0.1;5.6
215;2;-804.595;-10.378;46;1988;0.0;96.9;31.0;18;32;26;1.0;0.2;12.2;0.0;6.1
222;5;-804.601;-10.382;46;1995;139.5;153.2;29.0;18;21;50;1.2;3.0;0.0;0.1;6.1
224;6;-804.596;-10.383;46;1997;71.9;128.4;25.0;21;31;37;50.0;65.0;68.5;55.1;6.2
225;2;-804.595;-10.378;46;1998;298.9;357.6;34.0;17;18;28;20.6;0.2;0.2;0.0;5.9
226;7;-804.604;-10.385;46;1999;29.6;322.7;28.0;16;35;32;0.2;2.3;0.1;0.5;6.1
227;5;-804.601;-10.382;46;2000;89.7;76.3;23.0;18;30;49;0.1;0.2;0.5;0.0;6.1
234;5;-804.601;-10.382;46;2007;99.3;26.6;18.0;22;34;40;2.8;1.2;0.0;1.5;5.5
235;1;-804.599;-10.377;46;2008;222.9;236.4;28.0;21;19;32;4.6;0.5;0.6;1.4;6.0
237;6;-804.596;-10.383;46;2010;115.3;126.5;18.0;18;26;36;3.9;0.1;0.6;0.0;6.0
242;6;-804.596;-10.383;46;2015;28.9;115.9;31.0;19;30;38;7.3;0.2;0.5;5.1;5.5
244;8;-804.603;-10.384;46;2017;96.3;296.1;27.0;19;23;47;0.2;1.8;0.0;8.5;6.0
247;3;-804.598;-10.38;120;1960;400.4;528.4;33.0;24;15;41;20.1;4.7;0.5;1.1;5.9
248;6;-804.596;-10.383;120;1961;471.1;530.8;29.0;24;21;43;2.2;1.3;0.5;106.9;6.1
249;4;-804.6;-10.376;120;1962;587.0;503.1;35.0;24;22;42;0.3;4.5;1.6;0.4;5.7
251;6;-804.596;-10.383;120;1964;627.7;350.0;21.0;22;23;35;4.8;6.9;0.3;11.6;6.1
252;5;-804.601;-10.382;120;1965;413.2;451.5;31.0;19;22;47;0.5;0.9;36.3;14.7;5.7
253;6;-804.596;-10.383;120;1966;510.7;507.4;25.0;22;15;36;1.1;15.8;5.2;29.1;6.1
254;0;-804.597;-10.379;120;1967;591.1;636.2;32.0;20;34;52;14.9;3.3;2.4;14.0;5.6
255;3;-804.598;-10.38;120;1968;384.6;195.3;27.0;20;23;47;0.1;40.3;13.4;5.1;6.1
256;6;-804.596;-10.383;120;1969;253.0;238.7;27.0;20;29;34;6.3;8.0;21.0;6.4;5.9
257;3;-804.598;-10.38;120;1970;258.5;239.1;20.0;24;35;54;1.7;1.4;4.4;17.6;5.8
258;5;-804.601;-10.382;120;1971;258.8;576.8;21.0;24;18;43;0.5;1.3;18.4;65.7;6.0
259;7;-804.604;-10.385;120;1972;418.0;507.8;26.0;17;34;50;38.4;106.3;159.6;37.2;5.6
260;0;-804.597;-10.379;120;1973;378.4;393.2;32.0;22;25;46;4.2;4.3;21.4;10.1;6.1
261;3;-804.598;-10.38;120;1974;181.6;354.5;30.0;22;35;54;1.5;1.1;14.6;16.9;5.7
262;4;-804.6;-10.376;120;1975;570.2;656.5;25.0;21;12;48;8.8;6.9;1.8;20.6;5.8
263;8;-804.603;-10.384;120;1976;506.4;586.3;30.0;18;14;40;5.8;5.2;5.2;26.6;5.7
264;2;-804.595;-10.378;120;1977;410.7;326.4;18.0;24;33;53;3.0;0.9;30.7;6.2;5.7
265;8;-804.603;-10.384;120;1978;316.8;376.2;30.0;16;27;46;4.6;0.9;13.6;4.4;5.7
266;8;-804.603;-10.384;120;1979;172.0;349.7;31.0;16;26;31;0.2;0.6;7.6;9.7;5.7
267;1;-804.599;-10.377;120;1980;338.2;478.1;18.0;21;18;54;1.0;1.4;3.0;7.4;5.8
268;8;-804.603;-10.384;120;1981;245.4;458.0;18.0;24;31;37;13.3;1.3;8.6;1.3;5.7
269;0;-804.597;-10.379;120;1982;488.1;284.7;33.0;20;15;38;1.0;2.3;11.2;130.6;6.0
270;4;-804.6;-10.376;120;1983;850.3;599.0;30.0;17;28;25;547.5;96.7;144.1;29.8;5.8
271;4;-804.6;-10.376;120;1984;119.4;552.1;31.0;18;26;25;2.4;4.9;13.1;5.3;5.9
272;2;-804.595;-10.378;120;1985;270.6;257.6;27.0;19;32;46;1.2;4.6;39.0;1.6;5.7
273;4;-804.6;-10.376;120;1986;625.2;370.6;28.0;16;19;43;1.7;3.5;5.6;69.0;5.7
274;6;-804.596;-10.383;120;1987;505.1;380.6;21.0;18;35;43;2.0;55.5;12.1;10.2;5.7
275;5;-804.601;-10.382;120;1988;423.6;513.1;29.0;22;34;33;4.6;3.6;15.5;8.1;5.8
276;6;-804.596;-10.383;120;1989;459.4;487.7;22.0;21;25;39;7.8;0.7;1.6;30.5;5.7
278;6;-804.596;-10.383;120;1991;292.6;653.2;35.0;24;35;45;1.1;0.3;0.8;6.4;5.6
279;7;-804.604;-10.385;120;1992;543.0;443.4;29.0;16;24;52;21.0;0.9;7.3;4.4;5.5
280;5;-804.601;-10.382;120;1993;427.0;656.4;17.0;21;17;32;1.4;5.3;6.8;26.6;5.6
